UsageDetailID,CompanyID,CompanyGatewayID,GatewayAccountID,AccountID,connect_time,disconnect_time,billed_duration,trunk,area_prefix,cli,cld,cost,ProcessID,ID,remote_ip
3988397,1,SIPPY1,162,an-telecom,6/19/2015 15:34,6/19/2015 15:41,412,GOLD,9251,2086871700,4.42E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185068363,NULL
3988400,1,SIPPY1,162,an-telecom,6/19/2015 14:56,6/19/2015 14:57,79,GOLD,9242,2086871700,4.48E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185059405,NULL
3988404,1,SIPPY1,162,an-telecom,6/19/2015 14:55,6/19/2015 14:55,9,GOLD,9234,2086871700,4.42E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185058946,NULL
3988407,1,SIPPY1,162,an-telecom,6/19/2015 14:51,6/19/2015 14:52,89,GOLD,93,2086871700,4.42E+11,0,2a36a340-1693-11e5-aedc-759f5f6fbd4e,185058332,NULL
3989294,1,SIPPY1,162,an-telecom,6/19/2015 15:42,6/19/2015 15:48,362,GOLD,9375,44005474390,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185069914,NULL
3989298,1,SIPPY1,162,an-telecom,6/19/2015 15:40,6/19/2015 15:41,27,GOLD,9370,44000682572,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068386,NULL
3989301,1,SIPPY1,162,an-telecom,6/19/2015 15:39,6/19/2015 15:40,26,GOLD,9234,44000682572,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068232,NULL
3989303,1,SIPPY1,162,an-telecom,6/19/2015 15:34,6/19/2015 15:39,304,GOLD,93,44000682572,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068016,NULL
3989307,1,SIPPY1,162,an-telecom,6/19/2015 15:28,6/19/2015 15:39,686,GOLD,9242,44007337925,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185068110,NULL
3989310,1,SIPPY1,163,buraq-tel,6/19/2015 15:25,6/19/2015 15:28,143,GOLD,9377,44007337925,4.42E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185065785,NULL
3989313,1,SIPPY1,163,buraq-tel,6/19/2015 15:25,6/19/2015 15:25,7,GOLD,355,44007337925,4.48E+11,0,2ace6a70-1693-11e5-926f-e5f45cd938a4,185065224,NULL
